Customer Name,Recency,Frequency,Monetary,cluster_kmeans
Aarush Raja,539,1,133492.5,1
Aarush Salvi,386,1,53116.0,0
Aarush Shroff,265,1,25916.0,0
Aarush Thakkar,417,1,80761.6,1
Aarush Trivedi,639,1,128907.0,1
Aarush Vig,348,1,35492.8,0
Aarush Wadhwa,42,1,148428.0,1
Aarush Walla,608,1,69085.8,0
Aaryahi Babu,8,1,156810.8,1
Aaryahi Bal,288,1,117718.2,1
Aaryahi Batta,662,1,11823.3,0
Aaryahi Ben,646,1,223595.8,1
Aaryahi Bhatia,134,1,197002.8,1
Aaryahi Chada,248,1,229376.75,1
Aaryahi Das,213,1,77549.4,1
Aaryahi Ganesh,729,1,7530.15,0
Aaryahi Hegde,544,1,15988.5,0
Aaryahi Issac,7,1,98286.0,1
Aaryahi Kari,637,1,13455.8,0
Aaryahi Khare,657,1,205174.8,1
Aaryahi Lala,504,1,228556.5,1
Aaryahi Lalla,3,1,82682.1,1
Aaryahi Lata,617,1,13776.0,0
Aaryahi Loyal,12,1,47734.4,0
Aaryahi Madan,138,3,650151.9,2
Aaryahi Mahajan,728,1,9223.2,0
Aaryahi Sagar,291,1,41604.0,1
Aaryahi Sehgal,722,1,27630.0,0
Aaryahi Taneja,660,1,106037.5,1
Aaryahi Tiwari,248,1,155420.0,1
Aaryahi Wadhwa,259,1,250899.6,1
Aayush Banerjee,100,1,15938.1,0
Aayush Bassi,459,1,52645.0,1
Aayush Boase,368,1,110984.5,1
Aayush Dass,456,1,57474.45,1
Aayush Dutt,621,1,81156.6,1
Aayush Gill,668,1,177012.0,1
Aayush Kakar,672,1,13079.2,0
Aayush Krish,477,1,22338.4,0
Aayush Sengupta,455,1,325316.25,1
Aayush Setty,219,2,348992.1,2
Aayush Sood,185,1,44726.4,0
Aayush Sur,500,1,158786.8,1
Aayush Tak,616,1,823.5,0
Aayush Toor,329,1,50990.0,0
Abram Aggarwal,391,1,8998.4,0
Abram Badal,693,1,293572.0,1
Abram Balasubramanian,698,1,5527.8,0
Abram Bansal,55,1,203159.4,1
Abram Baral,352,1,36304.2,0
Abram Basak,405,1,2616.0,0
Abram Bhalla,487,1,35051.45,0
Abram Brar,532,1,271944.0,1
Abram Chaudhary,458,1,24437.6,0
Abram Chaudry,124,1,127862.4,1
Abram Date,339,1,358200.0,1
Abram Datta,508,1,177471.4,1
Abram Gara,216,1,26063.0,0
Abram Gera,225,1,271340.0,1
Abram Hayer,662,1,2347.7,0
Abram Khurana,322,1,124761.6,1
Abram Lata,547,1,127910.0,1
Abram Mahajan,420,1,288921.6,1
Abram Mani,311,1,193075.8,1
Abram Ram,465,1,294008.0,1
Abram Rout,526,1,85666.4,1
Abram Roy,323,1,119524.8,1
Abram Shanker,294,1,248967.0,1
Abram Sura,332,1,161862.0,1
Adah Balasubramanian,669,1,64336.0,1
Adah Basak,572,1,176352.0,1
Adah Bassi,194,1,169569.0,1
Adah Bath,524,1,307933.75,1
Adah Bhatnagar,461,1,47514.6,0
Adah Chhabra,86,1,21629.6,0
Adah Dâ€™Alia,141,1,123054.0,1
Adah Gandhi,194,1,311815.0,1
Adah Gokhale,336,1,37775.2,0
Adah Gopal,439,1,151809.15,1
Adah Jhaveri,394,1,168714.0,1
Adah Kaul,260,1,188392.5,1
Adah Kibe,554,1,103944.0,1
Adah Konda,228,1,36632.0,0
Adah Raj,31,1,53667.3,1
Adah Rajagopal,450,1,123331.2,1
Adah Ratta,19,1,25660.8,0
Adah Rau,663,1,98862.0,1
Adah Shroff,613,1,64688.4,0
Adah Sinha,179,1,62764.6,0
Adah Tandon,307,1,38595.2,0
Adira Bains,28,1,274590.0,1
Adira Bala,464,1,249644.0,1
Adira Bansal,360,1,41674.0,0
Adira Bir,427,1,177916.05,1
Adira Boase,270,1,101031.0,1
Adira Chacko,568,1,113566.8,1
Adira Chander,708,1,56876.4,1
Adira Choudhry,298,1,17341.0,0
Adira Contractor,303,1,62772.0,1
Adira Dar,310,1,235353.6,1
Adira Dayal,559,1,57242.25,1
Adira Dhingra,85,2,479389.0,2
Adira Dubey,625,1,148762.4,1
Adira Dutta,573,1,39852.0,0
Adira Gokhale,415,1,52237.65,0
Adira Handa,122,1,74564.0,1
Adira Issac,413,1,21669.5,0
Adira Kale,34,2,211773.85,2
Adira Khanna,156,1,252937.5,1
Adira Kota,122,1,8163.4,0
Adira Krishna,126,1,166071.6,1
Adira Mahal,540,1,43891.9,0
Adira Sathe,260,1,49944.0,1
Adira Seshadri,530,1,337675.25,1
Adira Tank,368,1,218351.4,1
Advik Barman,356,1,57023.95,0
Advik Behl,128,1,63468.0,0
Advik Bhatnagar,221,1,208029.6,1
Advik Borde,165,1,133852.5,1
Advik Chakrabarti,533,1,33011.55,0
Advik Chatterjee,42,1,98892.0,1
Advik Chaudhuri,3,1,322014.0,1
Advik Choudhary,145,1,132372.0,1
Advik Contractor,546,1,47826.9,0
Advik Desai,35,1,33732.0,0
Advik Dey,657,1,97754.4,1
Advik Ganesan,60,1,23658.8,0
Advik Hora,135,1,963.9,0
Advik Jha,567,1,126463.5,1
Advik Kakar,238,1,107504.0,1
Advik Ramanathan,335,1,247732.0,1
Advik Ramesh,16,1,2081.6,0
Advik Sarraf,731,1,178044.0,1
Advik Subramaniam,107,1,124839.0,1
Advik Sule,3,1,150776.1,1
Advik Talwar,663,1,40803.2,0
Advika Bal,400,1,62944.0,1
Advika Bora,426,1,30166.3,0
Advika Borra,339,1,44212.0,0
Advika Brahmbhatt,607,1,74393.1,1
Advika Dara,289,1,135341.25,1
Advika Dave,373,1,40308.0,0
Advika Dhar,373,1,266937.4,1
Advika Grover,32,1,115909.2,1
Advika Hora,549,1,336306.75,1
Advika Kala,287,1,63570.4,0
Advika Majumdar,127,1,8467.7,0
Advika Mangat,83,1,3539.4,0
Advika Ramakrishnan,294,1,60444.0,0
Advika Sachar,680,1,203583.0,1
Advika Sidhu,233,1,296867.4,1
Advika Sood,62,1,309657.25,1
Advika Thaman,596,1,59319.9,1
Advika Tiwari,481,1,275872.0,1
Ahana  Basu,386,1,61982.4,1
Ahana  Bera,57,1,206712.0,1
Ahana  Borah,468,1,13930.65,0
Ahana  Chanda,274,1,205348.2,1
Ahana  Chaudhry,308,1,129021.6,1
Ahana  Choudhary,113,1,16233.6,0
Ahana  Choudhury,639,1,39605.4,0
Ahana  Deep,344,1,16053.3,0
Ahana  Gupta,179,1,173641.95,1
Ahana  Kumar,657,1,109380.0,1
Ahana  Rastogi,407,1,330.3,0
Ahana  Ray,183,1,20165.4,0
Ahana  Sabharwal,85,1,42492.6,0
Ahana  Sampath,191,1,7870.0,0
Ahana  Tak,236,1,132604.25,1
Ahana  Verma,211,1,1041.25,0
Ahana  Vig,121,1,165413.4,1
Ahana  Wable,244,1,77248.0,1
Ahana  Yohannan,153,1,214438.75,1
Akarsh Agarwal,79,1,288895.0,1
Akarsh Balan,436,1,83244.0,1
Akarsh Chacko,311,1,34273.8,0
Akarsh Chauhan,148,1,31112.55,0
Akarsh Dora,176,1,35020.8,0
Akarsh Hayre,192,1,59316.1,0
Akarsh Kala,181,2,141832.8,2
Akarsh Kaul,258,1,45033.3,0
Akarsh Korpal,218,2,323552.0,2
Akarsh Mann,402,1,206920.0,1
Akarsh Sachdev,97,1,123444.0,1
Akarsh Sastry,245,2,47235.399999999994,2
Akarsh Shanker,214,1,111245.0,1
Akarsh Sule,10,1,39508.8,0
Akarsh Swamy,73,1,235716.0,1
Akarsh Virk,724,1,198685.8,1
Akarsh Viswanathan,541,1,2109.0,0
Akarsh Vora,120,1,44412.8,0
Alia Bandi,668,1,25673.0,0
Alia Bhasin,179,1,10362.6,0
Alia Borde,410,1,139956.75,1
Alia Brahmbhatt,313,1,214047.9,1
Alia Chacko,385,1,144760.05,1
Alia Chaudhari,105,1,5985.6,0
Alia Datta,423,1,210764.7,1
Alia Gour,420,1,69931.8,1
Alia Khare,109,1,129494.7,1
Alia Raju,692,1,54462.6,0
Alia Rau,601,1,137109.6,1
Alia Ravi,542,1,236819.8,1
Alia Ray,554,1,112901.8,1
Alia Salvi,405,1,40048.2,0
Alia Shenoy,713,1,169416.0,1
Alia Sibal,135,1,112586.4,1
Alia Suri,597,1,125893.5,1
Alia Wable,407,1,31920.0,0
Alia Zacharia,209,1,64999.0,0
Alisha Amble,540,1,71352.0,0
Alisha Bahri,440,1,88730.0,1
Alisha Bail,473,1,210767.0,1
Alisha Balakrishnan,596,1,123748.95,1
Alisha Basak,229,1,93500.0,1
Alisha Bhagat,31,2,315337.5,2
Alisha Chadha,643,1,28355.4,0
Alisha Chakrabarti,624,1,53323.05,1
Alisha Char,476,1,17398.3,0
Alisha Devi,256,1,101012.0,1
Alisha Dhar,52,1,58172.4,1
Alisha Doctor,472,1,3876.0,0
Alisha Dugal,681,1,29643.8,0
Alisha Grewal,263,1,135092.0,1
Alisha Kar,654,1,192032.0,1
Alisha Khare,157,1,372713.5,1
Alisha Lalla,632,1,981.6,0
Alisha Malhotra,393,1,12571.5,0
Alisha Mann,626,1,27318.4,0
Alisha Mannan,193,1,122155.75,1
Alisha Manne,536,1,118246.9,1
Alisha Rajagopalan,483,1,14263.0,0
Alisha Rattan,353,1,185280.4,1
Alisha Sachar,190,1,78040.0,1
Alisha Sampath,503,1,212310.0,1
Alisha Sankaran,516,1,30660.0,0
Alisha Sarma,141,1,172774.6,1
Alisha Sekhon,117,1,15345.0,0
Alisha Tata,621,1,27327.6,0
Alisha Thaker,255,1,10963.2,0
Alisha Walla,425,1,91874.4,1
Amani Acharya,671,1,119215.0,1
Amani Andra,177,2,213082.8,2
Amani Apte,136,1,154908.8,1
Amani Chatterjee,692,1,108648.0,1
Amani Deol,352,1,218804.0,1
Amani Hegde,473,1,92475.0,1
Amani Jaggi,285,1,8912.9,0
Amani Keer,345,1,74461.95,0
Amani Madan,100,2,98811.0,2
Amani Rajan,281,1,171779.0,1
Amani Rastogi,296,1,49352.4,1
Amani Sabharwal,636,1,288955.0,1
Amani Sachar,11,2,332537.85,2
Amani Sanghvi,473,1,13970.7,0
Amani Sankaran,2,1,18745.2,0
Amani Shukla,447,1,262896.0,1
Amani Sunder,216,1,8831.5,0
Amani Verma,446,1,62236.8,0
Amira Bora,581,1,12767.0,0
Amira Chakraborty,261,2,112203.2,2
Amira Chander,312,2,169255.55,2
Amira Chandran,158,1,214417.8,1
Amira Dar,108,1,44810.0,1
Amira Dayal,585,1,59502.0,1
Amira Dewan,722,1,132513.3,1
Amira Ganesh,621,1,46037.7,0
Amira Ghosh,226,1,47178.0,0
Amira Gupta,270,1,6431.2,0
Amira Jain,319,1,44737.2,1
Amira Kala,588,1,165724.0,1
Amira Kara,180,1,337581.75,1
Amira Karnik,53,1,208607.4,1
Amira Kohli,663,1,190345.8,1
Amira Savant,537,1,7490.2,0
Amira Sibal,274,1,48568.15,0
Amira Swamy,686,1,259488.0,1
Amira Varghese,490,1,135017.4,1
Anahi Aggarwal,233,1,94965.8,1
Anahi Anne,420,1,63559.2,1
Anahi Arya,720,1,292970.5,1
Anahi Bail,484,1,94159.6,1
Anahi Balakrishnan,329,1,34451.2,0
Anahi Bandi,54,1,43318.0,0
Anahi Bhagat,432,1,58116.0,0
Anahi Chakraborty,694,1,41768.1,0
Anahi Chandran,364,1,48225.6,0
Anahi Choudhry,491,2,144988.2,2
Anahi Comar,713,1,123523.7,1
Anahi Date,21,2,154420.9,2
Anahi Dixit,566,1,290885.0,1
Anahi Gaba,230,1,48430.4,0
Anahi Issac,690,1,27343.85,0
Anahi Rajagopalan,61,1,101510.4,1
Anahi Ram,246,1,63115.9,0
Anahi Rao,147,1,222616.35,1
Anahi Rattan,401,1,56383.9,0
Anahi Raval,85,1,85024.0,1
Anahi Sahni,458,1,97529.0,1
Anahi Sarin,393,1,77064.0,1
Anahi Sarma,713,1,139772.0,1
Anahi Sharaf,324,1,28317.6,0
Anahi Upadhyay,571,1,54052.8,0
Anahi Vala,329,1,55335.0,1
Anahi Varkey,215,1,162521.6,1
Anahi Venkatesh,135,1,169108.35,1
Anahi Vig,649,1,40734.4,0
Anahita Agarwal,685,1,72086.0,1
Anahita Arya,299,1,226320.0,1
Anahita Bala,627,1,13060.8,0
Anahita Chada,2,1,6863.75,0
Anahita Dasgupta,413,1,44778.25,1
Anahita Datta,686,1,102839.8,1
Anahita De,469,1,52535.0,1
Anahita Dugal,431,1,39865.8,0
Anahita Gokhale,60,1,236034.0,1
Anahita Halder,250,1,37181.0,0
Anahita Hegde,315,1,45148.8,0
Anahita Jaggi,513,1,37210.0,0
Anahita Krishna,157,2,72882.0,2
Anahita Manne,198,1,60169.2,1
Anahita Rama,261,1,63299.2,1
Anahita Sampath,193,1,63783.0,0
Anahita Sathe,729,1,21994.2,0
Anahita Sunder,114,1,216624.0,1
Anahita Taneja,721,1,143172.6,1
Anahita Verma,334,1,108661.95,1
Anay Anand,158,1,75877.8,1
Anay Bala,443,1,97739.8,1
Anay Bhagat,168,1,191520.0,1
Anay Bhakta,5,1,86302.75,1
Anay Chad,349,1,183679.2,1
Anay Comar,570,1,29164.05,0
Anay Dasgupta,707,1,66008.0,1
Anay Deol,643,1,97110.8,1
Anay Divan,638,1,40267.65,0
Anay Ganesan,40,1,180872.0,1
Anay Ghosh,158,1,57732.45,0
Anay Gokhale,40,1,277129.25,1
Anay Gopal,253,1,25832.35,0
Anay Goswami,73,1,18079.45,0
Anay Grewal,71,1,29343.6,0
Anay Kamdar,275,2,312892.3,2
Anay Mandal,344,1,142126.2,1
Anay Mander,307,1,48581.1,0
Anay Ramachandran,351,1,9568.4,0
Anay Ramaswamy,169,1,275084.0,1
Anay Ratti,700,1,62703.9,0
Anay Rau,550,1,4420.8,0
Anay Sandal,679,1,140908.5,1
Anay Sandhu,395,1,285316.0,1
Anay Sangha,197,1,318848.0,1
Anay Sastry,616,1,45271.85,0
Anay Sharaf,503,1,155873.7,1
Anay Upadhyay,714,1,193081.5,1
Anay Vaidya,48,1,220720.0,1
Anay Vasa,321,1,95524.0,1
Anay Warrior,343,1,35115.2,0
Anay Wason,125,1,14488.2,0
Anaya Banik,176,1,206346.0,1
Anaya Bhasin,208,1,158449.5,1
Anaya Chahal,398,1,47825.0,1
Anaya Char,391,1,73508.0,1
Anaya Chaudhari,590,1,265684.0,1
Anaya Dara,521,1,16150.95,0
Anaya Dâ€™Alia,516,1,29541.75,0
Anaya Goyal,19,1,56186.0,1
Anaya Hegde,225,1,15175.8,0
Anaya Khatri,633,1,55803.35,0
Anaya Krish,692,1,75023.4,1
Anaya Samra,397,1,83897.1,1
Anaya Sangha,355,1,233325.0,1
Anaya Savant,196,1,86508.0,1
Anaya Singh,614,1,34406.4,0
Anaya Sridhar,315,1,85471.2,1
Anika Balasubramanian,696,1,181680.0,1
Anika Bansal,430,1,34350.0,0
Anika Bhattacharyya,129,1,20854.8,0
Anika Bumb,557,1,95728.65,1
Anika Chaudhry,13,1,94140.0,1
Anika Deol,209,1,30319.25,0
Anika Dugal,66,1,33552.8,0
Anika Kapoor,658,1,193816.8,1
Anika Khanna,303,1,51253.45,0
Anika Lala,673,1,101563.2,1
Anika Lanka,15,1,10276.2,0
Anika Maharaj,677,1,62959.5,0
Anika Reddy,217,1,94528.8,1
Anika Saxena,677,1,95697.0,1
Anika Sen,134,1,158610.0,1
Anika Sodhi,203,1,76513.6,1
Anika Talwar,716,1,44440.0,0
Anika Tata,644,1,27537.6,0
Anika Thaker,93,1,243212.0,1
Anika Varghese,207,1,262636.0,1
Anika Wable,296,1,2193.0,0
Anika Walia,392,1,67899.6,1
Aniruddh Batra,451,2,232120.05,2
Aniruddh Bhat,295,1,3590.4,0
Aniruddh Bhavsar,410,1,266460.75,1
Aniruddh Dhingra,469,1,253748.0,1
Aniruddh Doctor,309,1,115120.8,1
Aniruddh Kade,284,1,58032.0,1
Aniruddh Kar,195,1,62728.5,1
Aniruddh Kothari,142,1,82528.0,1
Aniruddh Lal,491,1,1003.0,0
Aniruddh Magar,64,1,93230.4,1
Aniruddh Mammen,152,1,174399.6,1
Aniruddh Mander,155,1,66879.05,0
Aniruddh Mangat,607,1,25702.0,0
Aniruddh Rastogi,550,1,84028.0,1
Aniruddh Ratti,731,1,77522.4,1
Aniruddh Sant,260,1,60813.0,0
Aniruddh Sarin,512,1,391910.0,1
Aniruddh Savant,466,1,117059.2,1
Aniruddh Seshadri,364,1,828.0,0
Aniruddh Shetty,96,1,268264.8,1
Aniruddh Sridhar,342,1,158786.4,1
Aniruddh Varghese,303,1,115153.75,1
Aniruddh Wagle,373,1,197908.0,1
Anvi Badami,225,1,213582.8,1
Anvi Bahl,685,1,7452.0,0
Anvi Bawa,42,1,55914.0,0
Anvi Behl,628,1,183094.25,1
Anvi Biswas,78,1,285753.6,1
Anvi Bobal,707,1,177025.5,1
Anvi Dhawan,366,1,55683.3,1
Anvi Din,393,1,141893.9,1
Anvi Gole,439,1,141188.0,1
Anvi Jayaraman,279,1,153598.4,1
Anvi Joshi,719,1,25337.7,0
Anvi Kalita,454,1,239988.0,1
Anvi Kapoor,673,1,91439.6,1
Anvi Kari,705,1,94092.0,1
Anvi Keer,387,1,128338.2,1
Anvi Madan,356,1,19402.2,0
Anvi Mallick,201,1,198360.0,1
Anvi Mammen,439,1,51013.6,0
Anvi Raju,502,1,73380.0,1
Anvi Rattan,167,1,23461.2,0
Anvi Reddy,521,1,23784.2,0
Anvi Sangha,61,1,16923.5,0
Anvi Sarma,462,1,33460.25,0
Anvi Sarna,509,1,63477.6,0
Anvi Sehgal,511,1,156028.5,1
Anvi Sridhar,516,1,259617.2,1
Anvi Srinivasan,155,1,14598.0,0
Anvi Tak,61,1,51247.75,1
Anvi Trivedi,208,1,174742.4,1
Anvi Vora,257,1,141069.6,1
Anya Aggarwal,252,1,71607.6,1
Anya Bedi,98,1,64272.6,0
Anya Dass,532,1,26924.4,0
Anya Dua,376,1,186283.6,1
Anya Dyal,505,1,253627.2,1
Anya Goyal,319,2,382043.2,2
Anya Jayaraman,309,1,258475.0,1
Anya Karpe,666,1,118029.0,1
Anya Korpal,432,1,209314.8,1
Anya Lala,229,1,145407.0,1
Anya Lata,335,1,134765.8,1
Anya Ramachandran,417,1,43139.2,1
Anya Ranganathan,293,2,78926.85,2
Anya Raval,46,1,10441.8,0
Anya Sagar,279,1,76060.8,1
Anya Sandhu,149,1,59569.6,0
Anya Sarraf,183,1,172624.8,1
Anya Sha,538,1,3560.0,0
Anya Varughese,338,1,317488.5,1
Aradhya Atwal,58,2,278720.5,2
Aradhya Bansal,289,1,96696.0,1
Aradhya Bassi,421,1,4156.8,0
Aradhya Bava,99,1,90246.2,1
Aradhya Bhandari,251,1,29745.75,0
Aradhya Bobal,444,1,81405.6,1
Aradhya Borah,541,1,53618.4,1
Aradhya Buch,140,1,58185.9,1
Aradhya Choudhry,102,1,193602.0,1
Aradhya Ganguly,219,1,78622.95,1
Aradhya Jayaraman,83,1,142240.0,1
Aradhya Kapoor,644,1,111214.0,1
Aradhya Kothari,467,1,27957.0,0
Aradhya Krish,48,1,70175.0,1
Aradhya Lall,674,1,58635.0,1
Aradhya Raju,3,1,6235.2,0
Aradhya Rout,587,1,112703.2,1
Aradhya Sane,502,1,15395.2,0
Aradhya Sethi,507,1,35655.0,0
Aradhya Setty,342,1,123422.4,1
Arhaan Bansal,403,1,179254.4,1
Arhaan Basu,57,2,426563.6,2
Arhaan Bhatnagar,641,1,6543.0,0
Arhaan Char,432,1,222145.8,1
Arhaan Dalal,434,1,34488.0,0
Arhaan Dasgupta,425,1,200885.4,1
Arhaan Datta,185,1,16207.8,0
Arhaan Dhaliwal,141,1,168936.0,1
Arhaan Dhillon,295,1,43457.1,1
Arhaan Garg,240,1,144200.0,1
Arhaan Ghose,357,1,310113.25,1
Arhaan Gole,716,1,129671.2,1
Arhaan Khatri,284,1,27590.4,0
Arhaan Loyal,427,1,46565.55,0
Arhaan Raja,594,1,289804.5,1
Arhaan Sagar,39,1,174870.9,1
Arhaan Sarkar,204,1,159397.2,1
Arhaan Saxena,492,1,116472.0,1
Arhaan Sehgal,441,1,112747.4,1
Arhaan Sidhu,116,1,27513.0,0
Arhaan Sinha,515,1,342040.0,1
Arhaan Vala,211,1,32667.2,0
Arhaan Varty,273,1,34538.0,0
Arhaan Venkataraman,7,1,3961.6,0
Armaan Aggarwal,134,1,52452.0,0
Armaan Agrawal,322,1,12992.2,0
Armaan Bawa,98,1,68459.85,0
Armaan Bhalla,253,1,52631.1,0
Armaan Bora,351,1,44367.0,0
Armaan Chaudhry,688,1,341830.0,1
Armaan Dugar,727,1,263736.0,1
Armaan Hora,647,1,143684.0,1
Armaan Kale,480,1,194335.2,1
Armaan Kalita,276,1,102272.4,1
Armaan Kara,640,1,71299.4,1
Armaan Karan,103,1,65529.9,1
Armaan Kaur,179,1,205929.6,1
Armaan Krishna,460,1,124431.5,1
Armaan Krishnamurthy,128,1,25247.2,0
Armaan Kunda,132,1,30560.4,0
Armaan Rana,408,1,249716.4,1
Armaan Sankaran,242,1,54095.7,0
Armaan Saran,710,1,158913.0,1
Armaan Sem,190,1,173548.0,1
Armaan Shanker,226,1,241322.8,1
Armaan Shukla,370,1,73276.2,1
Armaan Sibal,207,1,151048.8,1
Armaan Taneja,622,1,59966.4,1
Armaan Tara,125,1,42104.75,1
Armaan Thakkar,344,1,370685.0,1
Arnav Agate,540,1,26993.7,0
Arnav Arya,615,1,131690.0,1
Arnav Badami,650,1,201636.0,1
Arnav Bava,611,1,49852.2,0
Arnav Buch,450,1,26763.1,0
Arnav Chakrabarti,136,1,30736.3,0
Arnav Deo,472,1,79880.0,1
Arnav Gara,365,1,226794.45,1
Arnav Golla,675,1,300618.0,1
Arnav Karpe,51,2,404417.6,2
Arnav Kunda,107,1,6836.0,0
Arnav Kurian,26,1,50415.3,0
Arnav Kuruvilla,237,1,223686.0,1
Arnav Lad,402,1,283122.25,1
Arnav Ranganathan,174,1,70437.6,1
Arnav Ravi,59,1,44614.85,0
Arnav Savant,42,1,26661.6,0
Arnav Shanker,207,1,54185.6,0
Arnav Shroff,63,1,60133.25,0
Arnav Sidhu,399,1,115004.0,1
Arnav Viswanathan,354,1,21883.25,0
Ayesha Bhasin,553,1,89049.6,1
Ayesha Dani,598,1,25956.9,0
Ayesha Dhawan,689,1,5064.0,0
Ayesha Dhillon,140,1,11170.0,0
Ayesha Dâ€™Alia,726,1,68704.0,1
Ayesha Garde,96,1,12215.35,0
Ayesha Grover,125,2,350353.6,2
Ayesha Jain,629,1,314356.0,1
Ayesha Kar,302,1,229853.6,1
Ayesha Ray,587,1,266460.0,1
Ayesha Reddy,614,1,181386.0,1
Ayesha Sampath,377,1,28539.0,0
Ayesha Sant,596,1,21997.15,0
Ayesha Sarna,543,1,65196.6,0
Ayesha Sibal,384,1,75422.0,0
Ayesha Srinivas,73,1,9075.6,0
Ayesha Vasa,128,1,79168.5,1
Ayesha Wable,565,1,32572.0,0
Azad Anand,518,1,183319.5,1
Azad Anne,483,1,98649.6,1
Azad Baral,605,1,75176.0,1
Azad Bhardwaj,511,1,123033.6,1
Azad Bhatti,222,1,44965.4,0
Azad Chaudhry,60,1,8011.2,0
Azad Comar,479,1,7909.7,0
Azad Dhillon,108,1,299960.75,1
Azad Handa,178,1,232735.75,1
Azad Issac,290,1,34729.2,0
Azad Khatri,606,1,273413.8,1
Azad Khurana,537,1,150129.0,1
Azad Kota,568,1,280820.0,1
Azad Kunda,543,1,23376.7,0
Azad Raj,691,1,18630.0,0
Azad Ravel,7,1,122979.2,1
Azad Roy,234,1,137754.0,1
Azad Sanghvi,651,1,6573.6,0
Azad Sarkar,407,1,81814.5,1
Azad Sathe,299,1,261928.0,1
Azad Sawhney,498,1,329773.5,1
Azad Sunder,302,1,67692.3,1
Azad Tak,66,1,46437.2,0
Azad Viswanathan,122,1,15154.0,0
Badal Balan,460,1,7658.9,0
Badal Banik,390,1,29769.6,0
Badal Chana,646,1,22924.45,0
Badal Chaudhari,288,1,274576.5,1
Badal Chaudhary,88,1,212202.0,1
Badal Dada,601,1,137260.0,1
Badal Desai,585,1,85286.4,1
Badal Dey,94,1,19586.55,0
Badal Dhar,491,1,214130.0,1
Badal Din,188,1,1691.0,0
Badal Karan,460,1,122848.0,1
Badal Krish,728,1,38345.2,0
Badal Lala,729,1,21006.0,0
